metric_id,company_id,period,energy_consumption_mwh,carbon_emissions_tons,water_usage_cubic_m,waste_output_tons,renewable_energy_pct
1,C001,2025-01,929.15,327.41,1482.44,19.67,58.16
2,C001,2025-02,928.09,289.54,1530.07,19.22,55.22
3,C001,2025-03,898.33,261.9,1351.74,18.95,55.28
4,C001,2025-04,895.24,277.79,1365.26,21.6,58.0
5,C001,2025-05,878.15,266.79,1418.95,19.6,57.3
6,C001,2025-06,885.31,279.22,1427.19,18.5,64.46
7,C001,2025-07,862.21,269.34,1497.12,17.53,62.32
8,C001,2025-08,772.65,262.77,1441.7,20.02,63.4
9,C001,2025-09,845.47,278.34,1312.53,17.95,63.28
10,C001,2025-10,888.8,287.2,1282.94,19.19,64.59
11,C001,2025-11,809.62,289.58,1468.63,19.84,64.83
12,C001,2025-12,818.92,282.77,1453.92,17.86,67.29
13,C002,2025-01,2289.38,973.24,11956.79,192.64,30.72
14,C002,2025-02,2109.63,911.13,12805.02,177.91,33.65
15,C002,2025-03,1876.97,927.17,11832.5,173.02,31.23
16,C002,2025-04,1927.18,863.85,11880.25,193.19,30.54
17,C002,2025-05,2034.09,841.08,12091.66,177.43,31.04
18,C002,2025-06,2153.61,863.98,12007.76,163.35,31.97
19,C002,2025-07,2038.9,776.07,11511.63,173.26,33.16
20,C002,2025-08,2035.46,771.02,10998.01,164.47,32.07
21,C002,2025-09,2023.12,854.6,12174.08,168.91,34.72
22,C002,2025-10,2011.99,731.05,11000.91,165.93,39.65
23,C002,2025-11,1980.23,832.76,10887.2,150.21,37.54
24,C002,2025-12,2053.82,848.19,10305.82,177.85,32.97
25,C003,2025-01,2661.32,1449.03,3014.95,77.18,16.9
26,C003,2025-02,2815.71,1407.45,3077.71,75.01,23.84
27,C003,2025-03,2702.04,1477.41,3135.6,73.42,21.93
28,C003,2025-04,3002.45,1364.16,3047.44,81.99,23.77
29,C003,2025-05,2649.66,1393.17,3105.05,82.37,23.44
30,C003,2025-06,2879.46,1454.43,3067.82,82.53,22.25
31,C003,2025-07,3101.13,1562.76,2858.1,84.77,22.47
32,C003,2025-08,2954.47,1628.68,2920.67,86.69,25.98
